picID,objectID,categoryName,truth,pred,像,同,墨,镜,砚,炉,轴,佩,簪,碗,扇,盘,瓶,币,罐,心,钩,座,扣
d41d3cd8-76f0-11e9-85ba-4ccc6a492333,a721873e1eab48aa807c4c1f81521ca9,雕塑、造像,像,0,0.9999738,2.6064558e-07,1.7808554e-07,3.6930192e-08,1.0679549e-10,9.61822e-07,2.9515587e-07,1.16863106e-07,3.911453e-08,6.254801e-08,4.6401485e-08,1.5786098e-09,2.082171e-06,3.8365908e-07,6.266648e-08,5.6285483e-09,4.057801e-07,2.0755584e-05,4.5817023e-07
7e0a8e88-76f0-11e9-85ba-4ccc6a492333,79f85b34de4e48d8b085c7260cd3d8cd,雕塑、造像,像,0,0.9999901,6.497625e-11,7.2863285e-11,2.7266636e-10,5.584677e-13,9.522353e-09,4.3617276e-10,8.643407e-08,1.350509e-11,7.1406436e-11,9.390618e-12,1.0641445e-12,1.2301851e-07,3.8282307e-12,1.05526636e-10,1.871683e-12,8.406223e-12,9.617538e-06,7.1373113e-10
8f91bda8-76f0-11e9-85ba-4ccc6a492333,7625e543793f4a828abc673251c577f9,雕塑、造像,像,0,0.9999999,4.3911593e-11,3.3407454e-11,1.4544234e-10,8.1390927e-13,1.1951365e-08,5.401746e-10,3.1223044e-10,1.4068893e-11,6.186833e-12,3.027762e-12,6.30662e-12,2.2924036e-08,1.8655149e-11,9.33019e-11,3.5244408e-11,2.1219724e-11,8.697337e-08,1.0877603e-09
81ad484d-76f0-11e9-85ba-4ccc6a492333,80fb8b98e1494c7787b6a14ca5bcd6b3,雕塑、造像,像,0,0.9999025,2.5088038e-06,2.3360782e-07,2.6083362e-07,3.859763e-09,3.6770127e-06,1.4438181e-06,2.1763008e-06,3.996069e-05,9.3738566e-07,9.53294e-07,1.7510271e-07,2.755968e-06,9.585098e-08,3.4353883e-07,1.591348e-07,5.8604684e-07,3.066977e-05,1.0618614e-05
97b1ee1c-76f0-11e9-85ba-4ccc6a492333,422e38c2ccfe455c9e3a2bdc68c713ff,雕塑、造像,像,0,0.95128316,6.80064e-05,1.0039041e-05,5.6834375e-05,9.0283316e-07,0.00465791,0.0011719106,0.0006687769,1.9525456e-05,6.3941593e-06,3.9818838e-06,3.6896978e-05,0.002238789,1.3274978e-06,1.0675299e-05,3.6726271e-06,1.2087738e-05,0.039101735,0.00064738427
99dabef1-76f0-11e9-85ba-4ccc6a492333,28affc09d9e24c7397966a263694cbed,雕塑、造像,像,0,0.9999999,6.97789e-12,1.3474006e-12,3.5462414e-11,1.2202857e-15,7.95115e-11,3.8093886e-12,1.11644756e-10,7.465301e-14,1.4362816e-13,6.78863e-14,1.3311036e-12,4.8584066e-09,4.383442e-12,2.7486196e-11,4.1304774e-13,1.2421498e-13,1.4367518e-07,1.6875137e-11
89c2604c-76f0-11e9-85ba-4ccc6a492333,f5a4ef3a01dc461394f10a16d49c03c0,雕塑、造像,像,0,0.9999758,9.461476e-09,3.7792396e-09,1.3819745e-08,4.2681527e-13,1.1353993e-07,7.683299e-09,1.0170715e-09,1.424516e-09,2.9238536e-09,7.23063e-10,8.593265e-11,2.3555074e-05,2.5962113e-10,3.995219e-07,7.211502e-09,1.7645221e-10,1.1406284e-07,2.8653673e-08
afa3cb82-76f0-11e9-85ba-4ccc6a492333,cacad1f1aafc47a78acdfb10a8586d37,雕塑、造像,像,0,0.99998355,2.2179591e-08,6.104751e-08,6.034626e-09,3.876422e-11,1.0466192e-06,5.5298763e-08,3.4628442e-07,1.1835637e-08,4.2342276e-09,7.0637257e-10,1.6694577e-09,8.376471e-06,4.0988584e-07,3.0402184e-08,2.224932e-09,1.2826821e-08,5.366579e-06,7.134519e-07
b2d92c2d-76f0-11e9-85ba-4ccc6a492333,c06c11f50aca431c849d2067b9b20a16,雕塑、造像,像,0,0.9999999,5.896678e-11,8.3256804e-11,4.6981943e-11,2.4245713e-14,1.9246684e-09,2.0569696e-10,2.5801326e-09,5.579691e-11,1.5125535e-11,1.4553329e-11,1.7935851e-12,1.1592971e-07,1.4099113e-11,1.09211085e-10,1.0515591e-11,9.414674e-11,1.4396589e-08,5.828958e-11
201901291141260441634,1E418A2166D842C182153EE71FC17C16,雕塑、造像,像,0,0.66241384,0.0014613192,0.0026459051,0.009704485,0.0020585686,0.0061885146,0.00022676616,0.00037698378,0.0038615726,0.00014862891,0.0022996839,0.0002487266,0.00036548136,0.005935685,0.0001559901,0.00595117,0.04714815,0.005629749,0.24317873
